Name;Sex;PeoplesCount
Аалия;Ж;13
Аанжелла;Ж;0
Аба;Ж;1000
Абав;Ж;0
Абам;Ж;32
Абаханум;Ж;4
Абаш;Ж;125
Аббаза;Ж;3
Абгюль;Ж;0
Абдужалия;Ж;0
Абдулния;Ж;1
Абдулпетта;Ж;2
Абдулька;Ж;5
Абдупатта;Ж;0
Абдурасуль;Ж;1
Абдурефи;Ж;24
Абдурома;Ж;3
Абдюль;Ж;11
Абелина;Ж;30
Абель;Ж;892
Абибат;Ж;2
Абигейль;Ж;0
Абигель;Ж;48
Абика;Ж;62
Абилфетта;Ж;3
Аблялиль;Ж;2
Абрагина;Ж;36
Абрамия;Ж;39
Абраша;Ж;71
Абрииа;Ж;0
Абуватфа;Ж;7
Абузарь;Ж;0
Абульфаза;Ж;1
Абуся;Ж;0
Абута;Ж;2
Абутаима;Ж;2
Авагея;Ж;4
Аванда;Ж;18
Аванна;Ж;10
Авашарфа;Ж;3
Авашерфа;Ж;0
Аващарфа;Ж;1
Авгалифена;Ж;0
Авгела;Ж;1
Авгения;Ж;0
Авгиння;Ж;3
Авгусита;Ж;1
Августа;Ж;13000
Августина;Ж;5000
Августиния;Ж;9
Авдия;Ж;14
Авдокия;Ж;4
Авдоля;Ж;2
Авдотия;Ж;21
Авдотья;Ж;2000
Авдоха;Ж;7
Авелина;Ж;0
Авелия;Ж;62
Авеля;Ж;11
Авенгилина;Ж;3
Авенила;Ж;0
Авения;Ж;5
Авентина;Ж;7
Авера;Ж;37
Авереса;Ж;1
Аверида;Ж;6
Аверия;Ж;24
Авета;Ж;0
Аветлана;Ж;3
Аветра;Ж;0
Авза;Ж;308
Авзаль;Ж;18
Авиа;Ж;11000
Авиада;Ж;2
Авиана;Ж;14
Авиата;Ж;0
Авиатта;Ж;0
Авигея;Ж;146
Авиета;Ж;6
Авизия;Ж;0
Авила;Ж;3000
Авилина;Ж;73
Авина;Ж;225
Авиона;Ж;2
Авиреза;Ж;5
Авиталь;Ж;176
Авиша;Ж;7
Авиэта;Ж;3
Авия;Ж;114
Авксения;Ж;1
Авксентия;Ж;4
Авлат;Ж;4
Авлевтина;Ж;3
Авлентина;Ж;5
Авлина;Ж;7
Авлора;Ж;7
Авмрозия;Ж;1
Авнда;Ж;1
Авнендра;Ж;3
Авнизия;Ж;0
Аворика;Ж;5
Авралия;Ж;0
Аврамия;Ж;2
Аврела;Ж;2
Аврелия;Ж;555
Аврелка;Ж;3
Аврелька;Ж;4
Авреля;Ж;9
Авремия;Ж;2
Аврийка;Ж;3
Аврика;Ж;18
Аврилия;Ж;7
Аврилияна;Ж;1
Авриль;Ж;19
Авриля;Ж;0
Авриния;Ж;1
Авроза;Ж;2
Аврония;Ж;1
Авроня;Ж;0
Аврора;Ж;66000
Авросия;Ж;5
Аврура;Ж;1
Аврустина;Ж;3
Авруся;Ж;1
Авруца;Ж;0
Аврыда;Ж;1
Автандия;Ж;0
Автелина;Ж;0
Автолина;Ж;0
Автомаска;Ж;1
Автондия;Ж;2
Автонина;Ж;12
Авула;Ж;19
Агаатэ;Ж;2
Агавала;Ж;1
Агавара;Ж;1
Агавия;Ж;5
Агавня;Ж;0
Агагюль;Ж;10
Агада;Ж;29
Агаджума;Ж;8
Агадия;Ж;3
Агадпея;Ж;4
Агалина;Ж;79
Агалирза;Ж;1
Агамерза;Ж;0
